REG_ID	REG_ID_GROUP	STATION_NAME	SYNONYM_NAMES	ICES_STATION_NAME	LAT_DM	LONG_DM	LATITUDE_WGS84_SWEREF99_DD	LONGITUDE_WGS84_SWEREF99_DD	LATITUDE_SWEREF99TM	LONGITUDE_SWEREF99TM	OUT_OF_BOUNDS_RADIUS	WADEP	EU_CD	MEDIA	COMNT	OLD_SHARK_ID
156799	264427	GAVIKSFJÄRDEN-EDSÄTTERFJÄRDEN G 9	G 9		6253.65	1816.81	62.8942	18.2802	6978046	666696	1200		SE697837-162585	"Biota;Vatten"	VAL-2018-05-14	
156800	264428	MB2-V			5705.95	1633.90	57.0992	16.565	6329512	594813	1200	14		"Biota;Vatten"	VAL-2018-05-14	BPWK12
156802	264429	G 8	GAVIKSFJÄRDEN-EDSÄTTERFJÄRDEN G 8		6253.57	1814.77	62.8928	18.2462	6977811	664977	1200		SE697816-162413	"Biota;Vatten"	VAL-2018-05-14	
156803	264430	39 ALNÖSUNDET	39		6228.45	1720.71	62.4742	17.3452	6929199	620901	1200			"Biota;Vatten"	VAL-2018-05-14	
156804	264431	HK 15B		HK 15B	5832.94	1717.40	58.549	17.29	6492107	633266	1200			"Biota;Vatten"	VAL-2018-05-14	
156805	264432	O7MS			5715.82	1628.77	57.2637	16.4795	6347706	589236	1200			"Biota;Vatten"	VAL-2018-05-14	
156806	264433	K421			6116.97	1709.25	61.2828	17.1542	6796195	615458	1200			"Biota;Vatten"	VAL-2018-05-14	
156807	264434	KUGGÖREN	18		6142.15	1730.52	61.7025	17.5087	6843601	632655	1200		SE684433-159013	"Biota;Vatten"	VAL-2018-05-14	
156808	264435	GB13 BRÅVIK ESTERÖN	BRÅVIK ESTERÖN<or>GB13<or>GB13 / BRÅVIK ESTERÖN		5838.20	1620.01	58.6367	16.3335	6500365	577415	1200			"Biota;Vatten"	VAL-2018-05-14	BPNE34
156809	264436	K3-V			5643.10	1621.60	56.7183	16.36	6286859	583237	1200	1		"Biota;Vatten"	VAL-2018-05-14	BPWK04
156810	264437	V1-V			5754.00	1642.20	57.9	16.7033	6418848	600957	1200	9		"Biota;Vatten"	VAL-2018-05-14	BPWM06
156811	264438	GAVIKSFJÄRDEN-EDSÄTTERFJÄRDEN G 13	G 13		6251.75	1819.05	62.8625	18.3175	6974619	668774	1200		SE697492-162788	"Biota;Vatten"	VAL-2018-05-14	
156812	264439	K12MS			5643.39	1628.04	56.7232	16.4673	6287532	589794	1200			"Biota;Vatten"	VAL-2018-05-14	
156813	264440	K18M			5643.07	1621.82	56.7178	16.3637	6286808	583463	1200			"Biota;Vatten"	VAL-2018-05-14	
156814	264441	V5			6302.10	1825.92	63.035	18.432	6994124	673570	1200	60		"Biota;Vatten"	VAL-2018-05-14	GBSY27
156815	264442	KF6	Kågefjärden		6450.02	2104.25	64.8337	21.0709	7203735	787717	1200			"Biota;Vatten"	VAL-2018-05-14	
156816	264443	SÖ05 SLÄTB KILL-GNES	SÖ05<or>SÖ05 / SLÄTB KILL-GNES		5828.76	1626.34	58.4793	16.439	6482976	583915	1200			"Biota;Vatten"	VAL-2018-05-14	BPNE11
156817	264444	ÅNGERMANÄLVEN 1			6300.39	1748.78	63.0065	17.813	6989430	642420	1200	28		"Biota;Vatten"	VAL-2018-05-14	GBSY43
156818	264445	K11-MV			5637.70	1622.90	56.6283	16.3817	6276869	584765	1200	15		"Biota;Vatten"	VAL-2018-05-14	BPWK02
156819	264446	N10	N 10	N 10	6329.20	1946.58	63.4867	19.7763	7048688	737731	1200			"Biota;Vatten"	VAL-2018-05-14	
156820	264447	G5 EDSVIKEN	G5		5923.52	1800.98	59.392	18.0163	6587585	671283	1200			"Biota;Vatten"	VAL-2018-05-14	
156821	264448	VALÖ			5733.00	1148.50	57.55	11.8083	6383103	309024	1200	24		"Biota;Vatten"	VAL-2018-05-14	KANI01
156822	264449	K2 BRUNNSVIKEN	K2		5921.55	1803.05	59.3592	18.0508	6584020	673409	1200			"Biota;Vatten"	VAL-2018-05-14	
156823	264450	NB1 / B3	B3<or>N 13<or>NB 1<or>NB1	NB1 / B3	6329.98	1949.14	63.4997	19.819	7050293	739743	1200	25		"Biota;Vatten"	VAL-2018-05-14	GBSX58
156824	264451	R 6-6			6503.44	2129.77	65.0573	21.4962	7230558	805258	1200			"Biota;Vatten"	VAL-2018-05-14	
156825	264452	G1			6040.88	1711.20	60.6813	17.1867	6729281	619436	1200			"Biota;Vatten"	VAL-2018-05-14	
156826	264453	S132 MAREN	S132		5911.41	1737.95	59.1902	17.6325	6564196	650383	1200	5		"Biota;Vatten"		BPNS17
156827	264454	IS4			5826.90	1633.47	58.4483	16.5578	6479680	590923	1200			"Biota;Vatten"	VAL-2018-05-14	
156828	197071	LANDSNORA			5925.96	1758.10	59.4327	17.9683	6591988	668357	1200	15		"Biota;Vatten"	VAL-2018-05-14	BPNS55
156829	264455	SKALKORGARNA			5740.73	1146.10	57.6788	11.7683	6397549	307315	1200	14		"Biota;Vatten"	VAL-2018-05-14	KANI02
156830	264456	B6			5610.93	1500.59	56.1822	15.0098	6226355	500610	1200			"Biota;Vatten"	VAL-2018-05-14	
156831	264457	DOMSJÖ 10	10<or>10 / MOÄLVEN		6315.79	1842.91	63.2632	18.7152	7020311	686409	1200	4		"Biota;Vatten"	VAL-2018-05-14	GBSY29
156832	264458	GAVIKSFJÄRDEN-EDSÄTTERFJÄRDEN G 1	G 1		6250.37	1812.63	62.8395	18.2105	6971783	663461	1200		SE697215-162254	"Biota;Vatten"	VAL-2018-05-14	
156833	264459	ÅNGERMANÄLVEN 63			6237.04	1755.58	62.6173	17.9263	6946360	650125	1200	20		"Biota;Vatten"	VAL-2018-05-14	GBSY60
156834	264460	M7-V			5654.85	1626.75	56.9142	16.4458	6308762	588030	1200	5		"Biota;Vatten"	VAL-2018-05-14	BPWK24
156835	264461	K22			6546.38	2318.25	65.773	23.3042	7319737	879360	1200			"Biota;Vatten"	VAL-2018-05-14	
156836	264462	R 6-3			6503.60	2128.31	65.06	21.4718	7230737	804087	1200			"Biota;Vatten"	VAL-2018-05-14	
156837	264463	M2-V			5700.55	1631.80	57.0092	16.53	6319447	592917	1200	7		"Biota;Vatten"	VAL-2018-05-14	BPWK20
156838	264464	N10 DEL AV N KATTEGATTS UTSJÖVATTEN	N10<or>N10 KATTEGATTS UTSJÖVATTEN	N10	5707.20	1201.18	57.12	12.0197	6334686	319568	1200	50		"Biota;Vatten"		
